"NtsbNo","EventType","Mkey","EventDate","City","State","Country","ReportNo","N#","HasSafetyRec","Mode","ReportType","OriginalPublishedDate","HighestInjuryLevel","FatalInjuryCount","SeriousInjuryCount","MinorInjuryCount","ProbableCause","Findings","DocketUrl"
"WPR23LA176","ACC","107309","2023-05-02T10:33:00Z","Santa Barbara","CA","USA",,"C-GXGS","false","Aviation","DirectorBrief",,"None",,,,,,"https://data.ntsb.gov/Docket?ProjectID=107309"
"WPR23LA174","ACC","107203","2023-05-01T17:15:00Z","San Luis Obispo","CA","USA",,"N29TR","false","Aviation","DirectorBrief",,"None",,,,,,"https://data.ntsb.gov/Docket?ProjectID=107203"
"WPR23FA173","ACC","107201","2023-05-01T13:02:00Z","Big Bear","CA","USA",,"N2038Y","false","Aviation","DirectorBrief",,"Fatal",,,,,,"https://data.ntsb.gov/Docket?ProjectID=107201"
"GAA23WA140","ACC","107807","2023-05-01T11:34:00Z","Chiribiquete National Park",,"CO",,"HK2803","false","Aviation","None",,"Fatal",,,,,,"https://data.ntsb.gov/Docket?ProjectID=107807"
"CEN23LA168","ACC","107204","2023-05-01T00:45:00Z","Batesville","MS","USA",,"N8713X","false","Aviation","DirectorBrief",,"None",,,,,,"https://data.ntsb.gov/Docket?ProjectID=107204"
"CEN23FA167","ACC","107170","2023-04-30T16:00:00Z","Lewisville","AR","USA",,"N31311","false","Aviation","DirectorBrief",,"Fatal",,,,,,"https://data.ntsb.gov/Docket?ProjectID=107170"
"CEN23LA170","ACC","107811","2023-04-30T13:50:00Z","Palmer","TX","USA",,"N1113B","false","Aviation","DirectorBrief",,"None",,,,,,"https://data.ntsb.gov/Docket?ProjectID=107811"
"WPR23FA172","ACC","107167","2023-04-29T18:50:00Z","Los Angeles","CA","USA",,"N575ND","false","Aviation","DirectorBrief",,"Fatal",,,,,,"https://data.ntsb.gov/Docket?ProjectID=107167"
"WPR23LA171","ACC","107166","2023-04-29T08:30:00Z","Queen Creek","AZ","USA",,"N2207D","false","Aviation","DirectorBrief",,"None",,,,,,"https://data.ntsb.gov/Docket?ProjectID=107166"
"DCA23WA282","INC","174521","2023-04-29T01:07:00Z","Munster/Osnabruck",,"GE",,"TC-SOH, 9H-CXD","false","Aviation","None",,,,,,,,"https://data.ntsb.gov/Docket?ProjectID=174521"
"GAA23WA145","ACC","109774","2023-04-28T17:15:00Z","Joanopolis","OF","BR",,"PR-DSC","false","Aviation","None",,"None",,,,,,"https://data.ntsb.gov/Docket?ProjectID=109774"
"WPR23LA170","ACC","107165","2023-04-28T14:25:00Z","Van Nuys","CA","USA",,"N549TS","false","Aviation","DirectorBrief",,,,,,,,"https://data.ntsb.gov/Docket?ProjectID=107165"
"ERA23LA212","ACC","107169","2023-04-28T09:00:00Z","Dulles","VA","USA",,"N507GD","false","Aviation","DirectorBrief",,"Serious",,,,,,"https://data.ntsb.gov/Docket?ProjectID=107169"
"CEN23LA176","ACC","114704","2023-04-28T08:40:00Z","Nacogdoches","TX","USA",,"N52602","false","Aviation","DirectorBrief",,"None",,,,,,"https://data.ntsb.gov/Docket?ProjectID=114704"
"ERA23LA216","ACC","107809","2023-04-27T08:35:00Z","Bridgeport","CT","USA",,"C-GPEX","false","Aviation","DirectorBrief",,,,,,,,"https://data.ntsb.gov/Docket?ProjectID=107809"
"WPR23LA169","ACC","107156","2023-04-26T22:54:00Z","Glendale","AZ","USA",,"N76GX","false","Aviation","DirectorBrief",,"None",,,,,,"https://data.ntsb.gov/Docket?ProjectID=107156"
"ERA23FA209","ACC","107153","2023-04-26T13:25:00Z","Watkinsville","GA","USA",,"N123DS","false","Aviation","DirectorBrief",,"Fatal",,,,,,"https://data.ntsb.gov/Docket?ProjectID=107153"
"ERA23LA208","ACC","107146","2023-04-25T19:35:00Z","Eaton","OH","USA",,"N327WC","false","Aviation","DirectorBrief",,"Serious",,,,,,"https://data.ntsb.gov/Docket?ProjectID=107146"
"WPR23LA168","ACC","107154","2023-04-25T18:00:00Z","Nyssa","OR","USA",,"N140D","false","Aviation","DirectorBrief",,"Minor",,,,,,"https://data.ntsb.gov/Docket?ProjectID=107154"
"DCA23FM031",,"107133","2023-04-25T00:03:00Z","Chalmette","LA","USA",,"N/A","false","Marine","DirectorBrief",,,,,,,,"https://data.ntsb.gov/Docket?ProjectID=107133"
"WPR23LA166","ACC","107134","2023-04-24T18:14:00Z","Enumclaw","WA","USA",,"N454K","false","Aviation","DirectorBrief",,"Minor",,,,,,"https://data.ntsb.gov/Docket?ProjectID=107134"
"CEN23LA166","ACC","107150","2023-04-24T18:00:00Z","Columbia","MS","USA",,"N44048","false","Aviation","DirectorBrief",,"None",,,,,,"https://data.ntsb.gov/Docket?ProjectID=107150"
"ERA23LA215","ACC","107307","2023-04-24T14:20:00Z","Cullman","AL","USA",,"N623LA","false","Aviation","DirectorBrief",,"None",,,,,,"https://data.ntsb.gov/Docket?ProjectID=107307"
"WPR23LA165","ACC","107122","2023-04-24T12:45:00Z","Tracy","CA","USA",,"N92734","false","Aviation","DirectorBrief",,"None",,,,,,"https://data.ntsb.gov/Docket?ProjectID=107122"
"CEN23FA164","ACC","107114","2023-04-24T07:46:00Z","La Porte","TX","USA",,"N4008J","false","Aviation","DirectorBrief",,"Serious",,,,,,"https://data.ntsb.gov/Docket?ProjectID=107114"
"GAA23WA133","ACC","107125","2023-04-23T13:33:00Z","Isla Mocha","OF","CI",,"CC-PFC","false","Aviation","DirectorBrief",,"Fatal",,,,,,"https://data.ntsb.gov/Docket?ProjectID=107125"
"ENG23WA027","INC","107308","2023-04-22T19:00:00Z","Bogotá",,"CO",,"HK 5239","false","Aviation","None",,"None",,,,,,"https://data.ntsb.gov/Docket?ProjectID=107308"
"WPR23LA164","ACC","107121","2023-04-22T13:00:00Z","Mesa","AZ","USA",,"N4402A","false","Aviation","DirectorBrief",,"None",,,,,,"https://data.ntsb.gov/Docket?ProjectID=107121"
"ANC23LA030","ACC","107116","2023-04-22T12:36:00Z","Soldotna","AK","USA",,"N454FU","false","Aviation","DirectorBrief",,"None",,,,,,"https://data.ntsb.gov/Docket?ProjectID=107116"
"DCA23LA252","ACC","107126","2023-04-22T11:00:00Z","Atlantic Ocean","AO","USA",,"N770AN","false","Aviation","DirectorBrief",,"Serious",,,,,,"https://data.ntsb.gov/Docket?ProjectID=107126"
"CEN23LA163","ACC","107106","2023-04-22T00:36:00Z","Buffalo","IA","USA",,"N60860","false","Aviation","DirectorBrief",,"Minor",,,,,,"https://data.ntsb.gov/Docket?ProjectID=107106"
"GAA23WA135","ACC","107151","2023-04-21T22:30:00Z","St-Rémi-de-Laprairie","OF","FR",,"C-FWGF","false","Aviation","None",,,,,,,,"https://data.ntsb.gov/Docket?ProjectID=107151"
"GAA23WA129","ACC","107103","2023-04-21T10:30:00Z","Taurages",,"LH",,"LY-BRS","false","Aviation","None",,"Fatal",,,,,,"https://data.ntsb.gov/Docket?ProjectID=107103"
"DCA23FM029",,"107099","2023-04-21T09:40:00Z","Cedarville","MI","USA",,"N/A","false","Marine","BoardBrief",,"None",,,,,,"https://data.ntsb.gov/Docket?ProjectID=107099"
"GAA23WA130","ACC","107113","2023-04-21T04:00:00Z","Salta","OF","AR",,"LV-WPM","false","Aviation","None",,"None",,,,,,"https://data.ntsb.gov/Docket?ProjectID=107113"
"GAA23WA126","ACC","107097","2023-04-20T21:00:00Z","Casanare","OF","CO",,"HK-1635","false","Aviation","None",,"None",,,,,,"https://data.ntsb.gov/Docket?ProjectID=107097"
"GAA23WA142","ACC","109769","2023-04-20T16:15:00Z","Jandakot","OF","AS",,"VH-FEY","false","Aviation","None",,"None",,,,,,"https://data.ntsb.gov/Docket?ProjectID=109769"
"GAA23WA134","ACC","107145","2023-04-20T13:16:00Z","Bogota","OF","CO",,"HK-1577G","false","Aviation","None",,"Minor",,,,,,"https://data.ntsb.gov/Docket?ProjectID=107145"
"CEN23LA161","ACC","107095","2023-04-20T08:30:00Z","Flint Township","MI","USA",,"N419W","false","Aviation","DirectorBrief",,"None",,,,,,"https://data.ntsb.gov/Docket?ProjectID=107095"
"GAA23WA127","ACC","107101","2023-04-19T20:40:00Z","San Jose Pinula",,"GT",,"N6630A","false","Aviation","None",,"None",,,,,,"https://data.ntsb.gov/Docket?ProjectID=107101"
"CEN23FA160","ACC","107091","2023-04-19T17:37:00Z","Bridgeport","TX","USA",,"N1390A","false","Aviation","DirectorBrief",,"Serious",,,,,,"https://data.ntsb.gov/Docket?ProjectID=107091"
"WPR23LA162","ACC","107119","2023-04-19T13:00:00Z","Grand Canyon","AZ","USA",,"N4166C","false","Aviation","DirectorBrief",,"None",,,,,,"https://data.ntsb.gov/Docket?ProjectID=107119"
"ERA23LA210","ACC","107155","2023-04-18T18:20:00Z","St. Augustine","FL","USA",,"N751WW","false","Aviation","DirectorBrief",,"None",,,,,,"https://data.ntsb.gov/Docket?ProjectID=107155"
"ERA23FA200","ACC","107083","2023-04-18T17:20:00Z","London","OH","USA",,"N734GB","false","Aviation","DirectorBrief",,"Fatal",,,,,,"https://data.ntsb.gov/Docket?ProjectID=107083"
"WPR23LA159","ACC","107084","2023-04-18T15:35:00Z","Upland","CA","USA",,"N349VR","false","Aviation","DirectorBrief",,"None",,,,,,"https://data.ntsb.gov/Docket?ProjectID=107084"
"ERA23LA202","ACC","107092","2023-04-18T08:13:00Z","Miami","FL","USA",,"N12RX","false","Aviation","DirectorBrief",,"None",,,,,,"https://data.ntsb.gov/Docket?ProjectID=107092"
"WPR23LA160","ACC","107087","2023-04-18T06:45:00Z","Glendale","AZ","USA",,"N21GX","false","Aviation","DirectorBrief",,"None",,,,,,"https://data.ntsb.gov/Docket?ProjectID=107087"
"GAA23WA137","ACC","107159","2023-04-18T04:00:00Z","Usa City",,"JA",,"JA-395A","false","Aviation","None",,"None",,,,,,"https://data.ntsb.gov/Docket?ProjectID=107159"
"DCA23WA241","INC","107082","2023-04-17T14:09:00Z","Mexico City",,"MX",,"N694DL","false","Aviation","None",,,,,,,,"https://data.ntsb.gov/Docket?ProjectID=107082"
"CEN23LA159","ACC","107086","2023-04-17T08:45:00Z","Fredericksburg","TX","USA",,"N478SP","false","Aviation","DirectorBrief",,,,,,,,"https://data.ntsb.gov/Docket?ProjectID=107086"
"GAA23WA131","ACC","107118","2023-04-17T04:00:00Z","Bankstown",,"AS",,"VH-XGR","false","Aviation","None",,"Fatal",,,,,,"https://data.ntsb.gov/Docket?ProjectID=107118"
"DCA23WA238","INC","107062","2023-04-17T04:00:00Z","Nairobi",,"KE",,"9V-SF0","false","Aviation","None",,"None",,,,,,"https://data.ntsb.gov/Docket?ProjectID=107062"
"DCA23WA239","ACC","107075","2023-04-16T13:30:00Z","Peten",,"GT",,"TG-TAI","false","Aviation","None",,"None",,,,,,"https://data.ntsb.gov/Docket?ProjectID=107075"
"WPR23LA156","ACC","107070","2023-04-16T09:10:00Z","Riverside","CA","USA",,"N8376W","false","Aviation","DirectorBrief",,"Minor",,,,,,"https://data.ntsb.gov/Docket?ProjectID=107070"
"DCA23PM027",,"107074","2023-04-15T20:20:00Z","Hickman","KY","USA",,"N/A","false","Marine","None",,,,,,,,"https://data.ntsb.gov/Docket?ProjectID=107074"
"ERA23LA207","ACC","107132","2023-04-15T18:11:00Z","Wake Forest","NC","USA",,"N33873","false","Aviation","DirectorBrief",,"Minor",,,,,,"https://data.ntsb.gov/Docket?ProjectID=107132"
"ERA23LA196","ACC","107066","2023-04-15T13:50:00Z","Gilford","NH","USA",,"N5400S","false","Aviation","DirectorBrief",,"None",,,,,,"https://data.ntsb.gov/Docket?ProjectID=107066"
"ERA23FA194","ACC","107060","2023-04-15T09:39:00Z","Andrews","NC","USA",,"N2357","false","Aviation","DirectorBrief",,"Fatal",,,,,,"https://data.ntsb.gov/Docket?ProjectID=107060"
"ENG23WA025","INC","107073","2023-04-15T05:20:00Z","Cairo","OF","EG",,"TC-LSZ","false","Aviation","None",,"None",,,,,,"https://data.ntsb.gov/Docket?ProjectID=107073"
"GAA23WA136","ACC","107158","2023-04-14T18:30:00Z","Fort Smith",,"CA",,"C-FCPE","false","Aviation","None",,"None",,,,,,"https://data.ntsb.gov/Docket?ProjectID=107158"
"WPR23LA155","ACC","107069","2023-04-14T16:10:00Z","North Las Vegas","NV","USA",,"N734NJ","false","Aviation","DirectorBrief",,,,,,,,"https://data.ntsb.gov/Docket?ProjectID=107069"
"GAA23WA125","ACC","107088","2023-04-14T15:00:00Z","Tapurah",,"BR",,"PT-BYA","false","Aviation","None",,"Fatal",,,,,,"https://data.ntsb.gov/Docket?ProjectID=107088"
"WPR23LA161","ACC","107096","2023-04-14T14:50:00Z","Concord","CA","USA",,"N80922","false","Aviation","DirectorBrief",,"None",,,,,,"https://data.ntsb.gov/Docket?ProjectID=107096"
"WPR23LA158","ACC","107077","2023-04-14T14:30:00Z","Garrison","MO","USA",,"N7278D","false","Aviation","DirectorBrief",,"None",,,,,,"https://data.ntsb.gov/Docket?ProjectID=107077"
"ERA23LA197","ACC","107067","2023-04-14T13:40:00Z","Crestview","FL","USA",,"N7542V","false","Aviation","DirectorBrief",,"Serious",,,,,,"https://data.ntsb.gov/Docket?ProjectID=107067"
"ERA23LA213","ACC","107202","2023-04-13T15:00:00Z","West Mifflin","PA","USA",,"N544TH","false","Aviation","DirectorBrief",,"None",,,,,,"https://data.ntsb.gov/Docket?ProjectID=107202"
"CEN23LA156","ACC","107054","2023-04-13T14:43:00Z","Evansville","IN","USA",,"N50142","false","Aviation","DirectorBrief",,"None",,,,,,"https://data.ntsb.gov/Docket?ProjectID=107054"
"ERA23LA195","ACC","107065","2023-04-13T14:15:00Z","Fallston","MD","USA",,"N412RS","false","Aviation","DirectorBrief",,"Serious",,,,,,"https://data.ntsb.gov/Docket?ProjectID=107065"
"CEN23FA155","ACC","107053","2023-04-13T12:30:00Z","Mammoth Springs","AR","USA",,"N5545","false","Aviation","DirectorBrief",,"Fatal",,,,,,"https://data.ntsb.gov/Docket?ProjectID=107053"
"CEN23LA165","ACC","107115","2023-04-13T11:00:00Z","Kingsford","MI","USA",,"N413EK","false","Aviation","DirectorBrief",,"None",,,,,,"https://data.ntsb.gov/Docket?ProjectID=107115"
