EventDate,ProbableCause,CausasProbables
2021-07-27,"The pilot's failure to maintain adequate airspeed and to retract the speed brake during the approach, which resulted in a hard landing short of the runway. Contributing to the accident was the flight instructor’s decision to conduct a flight review in an airplane without the appropriate visibility, flight instruments, and controls for him to adequately assess the airplane’s flight parameters and touchdown point and take appropriate remedial action.",['failure']
2021-07-26,"An inflight collision with terrain under unknown circumstances. Contributing to the delayed rescue response was the failure of the emergency locator transmitter (ELT) to activate as designed, and the mechanic’s failure to ensure the correct ELT was installed and all applicable airworthiness directives complied with in accordance with federal regulations.","['failure', 'failure']"
2021-07-24,"The pilot’s failure to remove the flight control lock before departure, which resulted in a loss of airplane control and impact with terrain. Contributing to the accident was his failure to perform an adequate preflight inspection and flight control check before takeoff.","['failure', 'loss', 'failure']"
2021-07-17,Impact with terrain for reasons that could not be determined based on the available information.,[]
2021-07-14,"The noninstrument-rated pilot’s continued visual flight under a thunderstorm, where he encountered reduced visibility due to heavy precipitation, resulting in a loss of control due to spatial disorientation.",['loss']
2021-07-13,The pilot’s failure to maintain airplane control due to spatial disorientation during an instrument departure procedure in instrument meteorological conditions which resulted in a collision with terrain. Contributing to the accident was the pilot’s lack of recent instrument flying experience.,['failure']
2021-07-12,"The pilot’s in-flight loss of control due to the structural failure of a wing fitting and separation of the outboard wing section. Also causal were the inadequate wing fitting inspections, which failed to detect the initial corrosion and crack before it resulted in failure of the wing fitting lug.","['loss', 'failure', 'failure']"
2021-07-03,"The pilot’s failure to navigate through mountainous terrain, which resulted in controlled flight into terrain.",['failure']
2021-07-01,"The pilot’s failure to maintain airspeed and exceedance of the airplane’s critical angle of attack, which resulted in an aerodynamic stall at an altitude too low for recovery.","['failure', 'exceedance']"
2021-07-01,"The pilot did not maintain aircraft control during an attempted go-around after a bounced landing, which resulted in impact with terrain and a postimpact fire.",[]
2021-06-28,"The National Transportation Safety Board determines that the probable cause of the June 28, 2021, explosion was a leaking mainline valve that allowed natural gas to enter the launcher where it mixed with air, creating a flammable gas–air mixture that was ignited by an undetermined source. Contributing to the explosion and its severity were Atmos Energy Corporation’s procedures and training practices that did not prepare workers to recognize and safely respond to abnormal operating conditions.",[]
2021-06-26,"The pilot’s loss of airplane control while maneuvering at a low altitude, which resulted in a collision with a house.",['loss']
2021-06-24,"The canopy moving fully open during flight, which resulted in the pilot’s distraction and a subsequent aerodynamic stall/spin and loss of control.",['loss']
2021-06-20,"The pilot’s poor decision making in attempting a takeoff from a field with high vegetation and a high-density altitude, which resulted in decreased takeoff performance and impact with terrain.",[]
2021-06-18,"The pilot’s failure to maintain adequate airspeed, which resulted in an aerodynamic stall and spin. Contributing to the accident was the failure of the pilot to perform an adequate preflight inspection, to include removal of the pitot tube cover.","['failure', 'failure']"
2021-06-18,The flight instructor’s decision to conduct slow flight training at an altitude below the flight school’s minimum recovery altitude and his delayed remedial action when an aerodynamic stall occurred.,[]
2021-06-17,"The pilot’s misidentification of a mountain pass at night, which resulted in controlled flight into terrain. Contributing to the accident were the pilot’s overconfidence based on her previous aviation experience and fatigue due to both the time of the flight and her work schedule. Also contributing was the pilot’s decision not to install an automatic dependent surveillance-broadcast (ADS-B) system, which forced a flightpath close to mountainous terrain to avoid the Mode-C and ADS-B Out veil.",[]
2021-06-17,"The pilot’s decision to conduct low-level aerobatic maneuvers in an airplane not approved for aerobatic flight, which resulted in an aerodynamic stall and spin, a loss of control, and an impact with terrain.",['loss']
2021-06-16,"The pilot’s diversion of attention following an asymmetric flap deployment, which resulted in a descent and collision with powerlines. Contributing to the accident was maintenance personnel’s failure to properly secure the flap control rod attachment bolts, their failure to identify that the bolts were improperly secured during the subsequent condition inspection, and the pilot’s inadequate preflight inspections.","['failure', 'failure']"
2021-06-15,An inflight loss of control and subsequent impact with terrain during an aerial application flight for reasons that could not be determined based on the available evidence.,['loss']
2021-06-15,"The student pilot’s exceedance of the airplane’s critical angle of attack during a turn and the flight instructor’s delayed remedial action, resulting in an aerodynamic stall and a subsequent impact with terrain.",['exceedance']
2021-06-13,"The pilot’s failure to maintain a proper glidepath during final approach for landing, which resulted in impact with trees and terrain.",['failure']
2021-06-09,"The National Transportation Safety Board determines that the probable cause of the Phoenix, Arizona, multivehicle crash was the truck driver’s failure to respond to the fully conspicuous traffic queue, likely as the result of fatigue. Contributing to the crash was Arizona Milk Transport’s (1) poor oversight of its drivers, (2) lack of fatigue management program, and (3) failure to enforce its own policies, such as those regarding on-duty hours—all a consequence of its inadequate safety culture. Contributing to the severity of injuries to several passenger vehicle occupants was their lack of or improper lap/shoulder belt use.","['crash', 'failure', 'crash', 'failure']"
2021-06-06,"The pilot’s low-altitude release from tow for reasons that could not be determined, and his subsequent exceedance of the glider’s critical angle of attack while returning to the runway, which resulted in an aerodynamic stall and impact with terrain.",['exceedance']
2021-06-06,"A loss of control while practicing an aerodynamic stall, which resulted in a spin and impact with terrain.",['loss']
2021-06-01,"The flight instructor’s mismanagement of the available fuel, which resulted in a total loss of engine power due to fuel starvation.",['loss']
2021-05-29,The pilot’s loss of directional control during landing. Contributing to the severity of the accident was the presence of a drainage ditch between the runway and taxiway.,['loss']
2021-05-29,The pilot’s loss of airplane control during climb due to spatial disorientation.,['loss']
2021-05-29,"The flight instructor’s improper aeronautical decision-making, which led to an encounter with a downdraft at a low altitude in mountainous terrain and resulted in the instructor’s loss of airplane control and an impact with terrain.",['loss']
2021-05-28,"The pilot’s failure to recognize and avoid airframe icing conditions, which resulted in a loss of airplane performance and a subsequent loss of control and in-flight break-up.","['failure', 'loss', 'loss']"
2021-05-25,"The failure of the water tank snorkel support structure, which allowed the snorkel to contact the main rotor blades. Contributing to the accident was insufficient Federal Aviation Administration oversight of the supplemental type certificate process for the water tank and snorkel.",['failure']
2021-05-21,"The mechanic’s inadvertent installation of the elevator trim tabs in reverse, which resulted in the pitch trim system operating opposite of the pilot’s input and the pilot’s subsequent loss of control.",['loss']
2021-05-19,"The National Transportation Safety Board determines that the probable cause of the May 19, 2021, Pan Am Railways employee fatality was the conductor’s failure to adhere to Pan Am Railways safety rules prohibiting movement between unbraked, moving equipment during gravity coupling, which resulted in the conductor being pinned between railcars.",['failure']
2021-05-18,"The pilot’s failure to maintain clearance from  a power line during the aerial application flight, which resulted in collision with the power line and subsequent impact with terrain.",['failure']
2021-05-18,The pilot’s loss of airplane control resulting in an aerodynamic stall while executing a steep turnaround during an aerial application flight.,['loss']
2021-05-06,The pilot's inadvertent shutdown of the left engine following an intentional shutdown of the right engine while practicing one engine inoperative (OEI) procedures. Contributing to the accident was the pilot’s decision to conduct OEI training at low altitude.,[]
2021-05-02,"The pilot’s loss of directional control during landing in gusting crosswind conditions that exceeded the airplane’s capability and his decision to attempt to takeoff from a field, which resulted in collision with a power pole/line and terrain.",['loss']
2021-05-02,"The pilot’s failure to maintain clearance from a power line during a low-level aerial application flight, resulting in tail rotor impact with the power line, a loss of control, and subsequent impact with the ground.","['failure', 'loss']"
2021-05-01,The total loss of engine power for reasons that could not be determined based on the available evidence.,['loss']
2021-04-28,"The pilot's decision to depart from a soft grass runway with a tailwind, which resulted in an increased takeoff distance and subsequent impact with trees during the initial climb.",[]
2021-04-26,A total loss of engine power for reasons that could not be determined from the available evidence.,['loss']
2021-04-25,"The noninstrument-rated pilot’s intentional flight into instrument meteorological conditions, which resulted in spatial disorientation and loss of airplane control.",['loss']
2021-04-24,"The pilot’s failure to maintain adequate airspeed during the go-around, which resulted in the airplane exceeding its critical angle of attack and a subsequent aerodynamic stall.",['failure']
2021-04-23,"The pilot’s improper decision to continue flight in an area of moderate-to-heavy icing conditions, which resulted in exceedance of the airplane’s anti-icing system capabilities, a degradation of aircraft performance, and subsequent aerodynamic stall.",['exceedance']
2021-04-22,"The pilot’s inadequate preflight weather planning, which resulted in an inadvertent encounter with instrument meteorological conditions at night, spatial disorientation, and collision with terrain.",['weather']
2021-04-21,"The pilot’s exceedance of the airplane’s critical angle of attack during an aborted landing, resulting in an aerodynamic stall and impact with terrain.",['exceedance']
2021-04-20,"The student pilot’s continued visual flight rules flight into night instrument meteorological conditions, which resulted in spatial disorientation and a rapid uncontrolled descent into terrain. Contributing to the accident were the self-induced and external pressures that likely influenced the pilot’s decision to both initiate and continue the flight.",[]
2021-04-17,"The National Transportation Safety Board determines that the probable cause of 
the Spring, Texas, electric vehicle crash was the driver’s excessive speed and failure to 
control his car, due to impairment from alcohol intoxication in combination with the 
effects of two sedating antihistamines, resulting in a roadway departure, tree impact, and 
postcrash fire.","['crash', 'failure']"
2021-04-17,"The pilot’s exceedance of the airplane’s critical angle of attack while maneuvering to avoid powerlines, which resulted in an aerodynamic stall and a loss of control. Contributing to the accident was the partial loss of engine power due to improper maintenance of the carburetors.","['exceedance', 'loss', 'loss']"
2021-04-15,The pilot’s loss of control due to spatial disorientation shortly after takeoff in night visual meteorological conditions.,['loss']
2021-04-13,"The pilot’s inadequate visual lookout, which resulted in collision with powerlines during an aerial application flight.",[]
2021-04-13,"The National Transportation Safety Board determines that the probable cause of the capsizing of the liftboat SEACOR Power was a loss of stability that occurred when the vessel was struck by severe thunderstorm winds, which exceeded the vessel’s operational wind speed limits. Contributing to the loss of life on the vessel were high winds and seas in the aftermath of the capsizing, which hampered rescue efforts.","['loss', 'loss']"
2021-04-07,The National Transportation Safety Board determines that the probable cause of the employee fatality at the Dyno Nobel facility was a result of the conductor being impacted by the moving railcars during a shoving movement while located in an area with insufficient walking space available for the employee to perform trackside duties.,[]
2021-04-07,The pilot’s failure to maintain control during takeoff.,['failure']
2021-04-05,"The student pilot’s loss of trike control while maneuvering at low altitude in gusting wind conditions, resulting in an impact with terrain.",['loss']
2021-04-03,"The pilot’s decision to fly at low altitude toward a mountainous canyon, and his exceedance of the airplane’s critical angle of attack while maneuvering to avoid rising terrain, which resulted in an aerodynamic stall and loss of airplane control.","['exceedance', 'loss']"
2021-03-15,"The pilot’s likely activation of the auxiliary fuel pump to “high” for undetermined reasons during takeoff, which resulted in total loss of engine power due to an excessively rich fuel-to-air mixture. Also causal was the pilot’s exceedance of the airplane’s critical angle of attack while returning to the airport following the loss of engine power.","['loss', 'exceedance', 'loss']"
2021-03-06,"A total loss of engine power due to the flight crew incorrectly placing the fuel selector between fuel tank detents, which resulted in fuel starvation. Contributing to the accident was the lack of a placard on the fuel selector, the lack of obvious fuel tank detents in the fuel selector, and the flight crew’s lack of understanding of proper fuel selector operation.",['loss']
2021-03-06,A loss of control and subsequent impact with terrain as a result of spatial disorientation during cruise in dark night conditions.,['loss']
2021-03-04,The pilot's improper decision to depart from the short turf runway with a tailwind.,[]
2021-03-02,An impact with ocean waters for reasons that could not be determined based on the available information.,[]
2021-03-02,Not Determined,[]
2021-02-28,"The pilot’s exceedance of the airplane’s critical angle of attack, which led to an aerodynamic stall and loss of control. Contributing to the accident was the pilot’s inadequate preflight inspection of the airplane, resulting in an unsecured engine cowl that likely distracted the pilot during takeoff.","['exceedance', 'loss']"
2021-02-26,The pilot’s loss of control due to spatial disorientation. Contributing to the accident was the pilot’s decision to depart into low instrument meteorological conditions.,['loss']
2021-02-20,A loss of engine power for reasons that could not be determined.,['loss']
2021-02-16,"The exceedance of the maximum airspeed for flight with the landing gear extended, which resulted in a separation of the right main landing gear door that subsequently impacted the right propeller and resulted in a total loss of right engine power. Contributing to the accident was the damaged wiring harness of the left engine oil pressure sending unit, which gave a false indication of an engine malfunction that resulted in the precautionary shutdown of the left engine.","['exceedance', 'loss']"
2021-02-15,A total loss of engine power due to fatigue failure of two of the stage 3 compressor blades. Contributing to the failure of the compressor blades was the failure of maintenance personnel to inspect the compressor at the recommended interval for operation in corrosive environments.,"['loss', 'failure', 'failure', 'failure']"
2021-02-13,"The pilot’s encounter with mountain wave activity with severe turbulence, which resulted in a loss of airplane control. Contributing to the accident was the pilot’s failure to obtain a preflight weather briefing.","['loss', 'failure', 'weather']"
2021-02-11,"The National Transportation Safety Board determines that the probable cause of the multivehicle crash in Fort Worth, Texas, was ice accumulation on the surface of the elevated roadway, which made drivers lose control of their vehicles, which then slid into road barriers and other vehicles. Contributing to the unsafe roadway condition was the failure of North Tarrant Express Mobility Partners Segments 3 to effectively monitor and address roadway conditions along Interstate 35 West during and after periods of freezing rain and mist. Contributing to the severity of the crash outcome was drivers traveling at speeds too fast for the winter weather conditions.","['crash', 'failure', 'crash', 'weather']"
2021-02-08,"The pilot’s decision to takeoff into instrument meteorological conditions consisting of low ceilings and icing and his failure to remain clear of terrain while attempting to remain below the clouds, which resulted in impact with terrain.",['failure']
2021-02-04,An in-flight breakup during cruise flight for reasons that could not be determined based on available evidence.,[]
2021-02-02,"The flight instructor did not maintain control of the airplane during training maneuvers, which resulted in a rapid, steep descent and impact with terrain.",[]
2021-01-29,None,[]
2021-01-26,"The total loss of engine power due to fuel exhaustion, which resulted from the pilot's inadequate in-flight fuel planning.",['loss']
2021-01-24,The pilot’s controlled flight into the ocean at night due to his unrecognized spatial disorientation. Contributing to the accident was the pilot’s distraction with the tuning of his transponder while maneuvering over an area with reduced visual references.,[]
2021-01-23,"The pilot’s failure to maintain the proper descent rate during the balloon’s approach to landing, which resulted in a hard landing and fatal passenger injury when the passenger fell out of the basket.",['failure']
2021-01-19,The pilot’s failure to maintain clearance from powerlines/poles and terrain while maneuvering for reasons that could not be determined based on available evidence.,['failure']
2021-01-11,A steep descent and impact with terrain during final approach for reasons that could not be determined.,[]
2021-01-09,A loss of airplane control due to pilot incapacitation for reasons that could not be determined.,['loss']
2021-01-04,"A loss of left engine power for undetermined reasons, which resulted in an emergency descent with one engine inoperative and inadvertent collision with transmission lines. Contributing to the accident was the pilot’s inability to respond appropriately to the emergency due to impairment from his previous use of cocaine and multiple other impairing drugs.",['loss']
2021-01-01,"The National Transportation Safety Board determines that the probable cause 
of the Avenal, California, crash was the failure of the sport utility vehicle (SUV) driver 
to control his vehicle due to a high level of alcohol impairment. Contributing to the 
severity of the crash was the SUV driver’s excessive speed.","['crash', 'failure', 'crash']"
2020-12-29,The pilot’s loss of helicopter control when the external saw contacted trees during an attempted emergency landing due to a main rotor transmission oil pressure warning. The reason that the pilot did not release the external saw from the helicopter during the attempted emergency landing could not be determined based on the available evidence.,['loss']
2020-12-21,"The pilot’s loss of airplane control during the departure turn, which resulted in an aerodynamic stall and impact with terrain.",['loss']
2020-12-20,"The pilot's intentional visual flight rules flight into instrument meteorological conditions, which resulted in controlled flight into terrain. Contributing to the accident was the pressure to complete the flight to work in an emergency room.",[]
2020-12-19,"A total loss of engine power due to engine seizure. Contributing to the accident was the pilot decision not to orbit the airport, as originally planned.",['loss']
2020-12-17,"The pilot’s failure to use carburetor heat in environmental conditions favorable for serious carburetor ice during a prolonged wait with the engine at a low power setting before takeoff, which resulted in a partial loss of engine power due to carburetor ice. Also causal was the pilot’s failure to recognize degraded engine performance during the extended takeoff roll and abort the takeoff.","['failure', 'loss', 'failure']"
2020-12-17,"The pilot’s loss of control during an intentional aerobatic maneuver, which resulted in an upright spin into terrain.",['loss']
2020-12-16,"The pilot’s failure to follow the procedures for takeoff in the Pilot Operating Handbook, which resulted in a loss of control and collision with the terrain. Contributing to the accident was the pilot’s failure to receive additional training in the gyroplane.","['failure', 'loss', 'failure']"
2020-12-16,The student pilot’s decision to conduct a flight during night instrument meteorological conditions and his loss of airplane control due to spatial disorientation. Contributing to the accident was the student pilot’s use of an amphetamine and his attention deficit hyperactivity disorder.,['loss']
2020-12-15,"An exceedance of the airplane’s critical angle of attack and aerodynamic stall following a loss of engine power during an unknown phase of flight, which resulted in an impact with terrain.","['exceedance', 'loss']"
2020-12-12,A loss of engine power due to fuel contamination.,['loss']
2020-12-12,"A loss of control inflight and the failure of a component of the up elevator flight control system due to fatigue, which rendered recovery from a right descending turn improbable.","['loss', 'failure']"
2020-12-10,"The National Transportation Safety Board determines that the probable cause 
of the Searchlight, Nevada, crash was the box truck driver’s impairment and fatigue 
stemming from his use of methamphetamine. Contributing to the crash was the 
decision made by the bicyclists to ride in the right travel lane of a 75-mph roadway.","['crash', 'crash']"
2020-12-10,"The pilot’s loss of control and exceedance of performance and/or structural limitations during low-altitude operations, which resulted in an inflight breakup.. Contributing to the accident was the pilot’s impairment from the effects of tetrahydrocannabinol.","['loss', 'exceedance']"
2020-12-08,"The pilot’s impairment by the effects of ingested alcohol, which resulted in the loss of airplane control and impact with terrain.",['loss']
2020-12-06,"The pilot’s spatial disorientation shortly after takeoff into night instrument meteorological conditions, which resulted in loss of airplane control and subsequent impact with terrain.",['loss']
2020-11-30,"The impairment of both pilots from carbon monoxide exposure due to a degraded muffler. Contributing to the accident was the inadequate maintenance inspection, which failed to detect the degraded muffler.",[]
2020-11-24,An uncontrolled descent and impact with terrain following an in-flight collision with seagulls.,[]
2020-11-23,"The pilot/owner’s failure to properly reinstall the number 1 cylinder spark plug, which resulted in a partial loss of engine power during the initial climb. Contributing was the pilot's exceedance of the airplane’s critical angle of attack during an attempted return to the airport following the partial loss of engine power, which resulted in an aerodynamic stall, loss of control, and impact with terrain.","['failure', 'loss', 'exceedance', 'loss', 'loss']"
2020-11-23,"The National Transportation Safety Board determines that the probable cause of the sinking of the fishing vessel Emmy Rose was a sudden loss of stability (capsizing) caused by water collecting on the aft deck and subsequent flooding through deck hatches, which were not watertight or weathertight because they had covers that did not have securing mechanisms, contrary to the vessel’s stability instructions and commercial fishing vessel regulations.",['loss']
2020-11-19,The pilot’s loss of airplane control for reasons that could be determined based on available evidence.,['loss']
2020-11-16,The pilot’s failure to maintain positive control of the airplane in mountainous terrain during dark night conditions as a result of spatial disorientation which led to a loss of control and subsequent impact with terrain.,"['failure', 'loss']"
2020-11-12,"The pilot’s decision to continue an unstabilized approach and his delayed go-around decision, which resulted in the airplane’s impact with power lines and the ground. Contributing to the accident was the inaccurate wind direction reporting as a result of a misaligned crossarm on the weather reporting station.",['weather']
2020-11-12,"Maintenance personnel’s failure to properly secure the throttle control hardware during recent maintenance, which resulted in its disconnection and a subsequent loss of engine power on approach for landing.","['failure', 'loss']"
2020-11-11,The noncertificated pilot’s failure to maintain aircraft control during takeoff.,['failure']
2020-11-11,"The flight instructor’s failure to maintain airspeed, which resulted in an aerodynamic stall and subsequent loss of control while attempting to conduct an emergency landing. Contributing to the accident was a total loss of engine power as a result of carburetor icing.","['failure', 'loss', 'loss']"
2020-11-10,"A total loss of engine power due to the pilot’s improper fuel management, which resulted in fuel starvation.",['loss']
2020-11-08,The pilot’s descent into the ocean for reasons that could not be determined.,[]
2020-11-07,"The noninstrument-rated pilot’s decision to depart into instrument meteorological conditions, which resulted in a loss of control.",['loss']
2020-11-06,"The pilot of the J35’s failure to maintain clearance from the M35, which resulted in a midair collision and the J35 pilot’s subsequent loss of control and impact with terrain.","['failure', 'loss']"
2020-11-03,A loss of control for reasons that could not be determined based on the available evidence.,['loss']
2020-11-01,"The pilot’s continued descent below the minimum descent altitude while conducting an instrument approach in instrument meteorological conditions, which resulted in controlled flight into terrain.",[]
2020-10-30,The pilot’s failure to maintain the proper descent glide path while on final approach for reasons that could not be determined from available evidence.,['failure']
2020-10-29,The pilot’s failure to maintain the airplane’s minimum controllable airspeed while maneuvering with one engine inoperative. Also causal was the loss of power in the left engine due to oil starvation. Contributing to the accident were inadequate maintenance that failed to correct an ongoing problem with the engine in the months preceding the accident.,"['failure', 'loss']"
2020-10-27,"The National Transportation Safety Board determines that the probable cause of the Decatur, Tennessee, crash was the service truck driver’s inattention to the forward roadway due to his looking at a sheriff’s vehicle behind him, which resulted in his failure to keep the truck on the roadway. Contributing to the cause of the crash were non-recoverable and critical foreslopes and the pavement edge drop-off along the state highway, which prevented the truck driver from safely returning the truck to the roadway in a controlled manner. Contributing to the severity of the crash was the lack of passenger lap/shoulder belts on the school bus and the unsafe seating positions by some of the students.","['crash', 'failure', 'crash', 'crash']"
2020-10-26,"The pilot’s improper decision to fly into icing conditions with an airplane that was not equipped for icing, which led to structural icing and a subsequent loss of airplane control, and the pilot’s impairment from carbon monoxide poisoning due to a cracked heat exchanger. Contributing to the accident was the pilot’s self-induced pressure to complete the flight due to the incoming adverse weather conditions and the inadequate inspection of the cabin air heat exchanger.","['loss', 'weather']"
2020-10-25,"A total loss of engine power due to fuel exhaustion. Contributing was the pilot’s exceedance of the airplane's critical angle of attack, which resulted in an aerodynamic stall/spin and loss of control.","['loss', 'exceedance', 'loss']"
2020-10-25,The pilot’s failure to maintain control of the airplane due to spatial disorientation.,['failure']
2020-10-24,"The pilot’s exceedance of the airplane’s critical angle of attack during an aerobatic maneuver, which resulted in an aerodynamic stall and spin and a loss of control. Contributing to the accident was the pilot’s lack of aerobatic experience in the accident airplane make and model.","['exceedance', 'loss']"
2020-10-21,The pilot’s loss of control shortly after departure for reasons that could not be determined based on the available information.,['loss']
2020-10-20,The loss of engine power for reasons that could not be determined based on the available evidence.,['loss']
2020-10-16,Impact with terrain for reasons that could not be determined with the available information.,[]
